======================================================================
Run 1/1  |  size=M  split=100%
Config : config/train_shakespeare_char_M.py
Out dir: out-shakespeare-M-split100
Log    : logs\train_M_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_M.py --train_file=train_100.bin --out_dir=out-shakespeare-M-split100 --wandb_run_name=M-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_M.py:
# Baseline configuration
out_dir = 'out-shakespeare-M'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-M-split100
Overriding: wandb_run_name = M-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 2150: loss 1.1235, time 94.61ms, mfu 3.95%
iter 2160: loss 1.1439, time 93.85ms, mfu 3.95%
iter 2170: loss 1.1357, time 93.58ms, mfu 3.96%
iter 2180: loss 1.1124, time 92.79ms, mfu 3.96%
iter 2190: loss 1.1051, time 93.98ms, mfu 3.96%
iter 2200: loss 1.1229, time 93.16ms, mfu 3.97%
iter 2210: loss 1.1208, time 94.98ms, mfu 3.96%
iter 2220: loss 1.1181, time 91.79ms, mfu 3.97%
iter 2230: loss 1.1209, time 94.25ms, mfu 3.97%
iter 2240: loss 1.1228, time 93.09ms, mfu 3.97%
step 2250: train loss 1.0108, val loss 1.4814
iter 2250: loss 1.1127, time 11987.50ms, mfu 3.58%
iter 2260: loss 1.1111, time 95.52ms, mfu 3.61%
iter 2270: loss 1.1250, time 91.72ms, mfu 3.66%
iter 2280: loss 1.0977, time 93.66ms, mfu 3.69%
iter 2290: loss 1.1364, time 92.69ms, mfu 3.72%
iter 2300: loss 1.1226, time 93.04ms, mfu 3.75%
iter 2310: loss 1.0937, time 94.09ms, mfu 3.77%
iter 2320: loss 1.0935, time 93.11ms, mfu 3.79%
iter 2330: loss 1.0973, time 93.70ms, mfu 3.81%
iter 2340: loss 1.1169, time 92.81ms, mfu 3.83%
iter 2350: loss 1.1116, time 92.49ms, mfu 3.85%
iter 2360: loss 1.1087, time 94.28ms, mfu 3.86%
iter 2370: loss 1.0949, time 94.51ms, mfu 3.87%
iter 2380: loss 1.0743, time 81.30ms, mfu 3.94%
iter 2390: loss 1.0802, time 92.67ms, mfu 3.95%
iter 2400: loss 1.0747, time 92.55ms, mfu 3.96%
iter 2410: loss 1.0747, time 93.66ms, mfu 3.96%
iter 2420: loss 1.0773, time 93.02ms, mfu 3.96%
iter 2430: loss 1.0580, time 94.00ms, mfu 3.96%
iter 2440: loss 1.0560, time 80.66ms, mfu 4.03%
iter 2450: loss 1.0679, time 95.93ms, mfu 4.01%
iter 2460: loss 1.0860, time 92.85ms, mfu 4.01%
iter 2470: loss 1.0876, time 93.24ms, mfu 4.01%
iter 2480: loss 1.0818, time 79.02ms, mfu 4.08%
iter 2490: loss 1.0599, time 95.66ms, mfu 4.06%
step 2500: train loss 0.9599, val loss 1.4885
iter 2500: loss 1.0803, time 11867.67ms, mfu 3.66%
iter 2510: loss 1.0661, time 95.23ms, mfu 3.69%
iter 2520: loss 1.0485, time 94.78ms, mfu 3.71%
iter 2530: loss 1.0547, time 80.55ms, mfu 3.80%
iter 2540: loss 1.0534, time 95.27ms, mfu 3.81%
iter 2550: loss 1.0665, time 93.00ms, mfu 3.83%
iter 2560: loss 1.0580, time 79.41ms, mfu 3.92%
iter 2570: loss 1.0732, time 96.47ms, mfu 3.91%
iter 2580: loss 1.0770, time 93.21ms, mfu 3.92%
iter 2590: loss 1.0682, time 107.46ms, mfu 3.88%
iter 2600: loss 1.0632, time 94.93ms, mfu 3.88%
iter 2610: loss 1.0553, time 94.04ms, mfu 3.89%
iter 2620: loss 1.0490, time 93.85ms, mfu 3.90%
iter 2630: loss 1.0292, time 93.73ms, mfu 3.91%
iter 2640: loss 1.0496, time 79.89ms, mfu 3.98%
iter 2650: loss 1.0626, time 93.43ms, mfu 3.98%
iter 2660: loss 1.0380, time 78.70ms, mfu 4.06%
iter 2670: loss 1.0168, time 92.07ms, mfu 4.06%
iter 2680: loss 1.0483, time 94.00ms, mfu 4.05%
iter 2690: loss 1.0503, time 94.66ms, mfu 4.04%
iter 2700: loss 1.0256, time 80.27ms, mfu 4.10%
iter 2710: loss 1.0450, time 93.08ms, mfu 4.09%
iter 2720: loss 1.0435, time 94.03ms, mfu 4.07%
iter 2730: loss 1.0621, time 79.52ms, mfu 4.14%
iter 2740: loss 1.0285, time 94.89ms, mfu 4.11%
step 2750: train loss 0.9181, val loss 1.5070
iter 2750: loss 1.0354, time 11864.76ms, mfu 3.71%
iter 2760: loss 1.0286, time 92.59ms, mfu 3.74%
iter 2770: loss 1.0237, time 94.44ms, mfu 3.76%
iter 2780: loss 1.0271, time 93.01ms, mfu 3.78%
iter 2790: loss 1.0407, time 93.84ms, mfu 3.80%
iter 2800: loss 1.0095, time 92.84ms, mfu 3.82%
iter 2810: loss 1.0399, time 92.57ms, mfu 3.84%
iter 2820: loss 1.0228, time 93.61ms, mfu 3.86%
iter 2830: loss 1.0228, time 94.62ms, mfu 3.87%
iter 2840: loss 0.9977, time 94.24ms, mfu 3.87%
iter 2850: loss 1.0272, time 93.25ms, mfu 3.89%
iter 2860: loss 1.0226, time 94.05ms, mfu 3.89%
iter 2870: loss 1.0176, time 92.89ms, mfu 3.91%
iter 2880: loss 1.0346, time 78.99ms, mfu 3.99%
iter 2890: loss 1.0084, time 94.82ms, mfu 3.98%
iter 2900: loss 0.9905, time 93.98ms, mfu 3.98%
iter 2910: loss 1.0324, time 92.25ms, mfu 3.99%
iter 2920: loss 1.0110, time 94.13ms, mfu 3.98%
iter 2930: loss 0.9947, time 93.51ms, mfu 3.98%
iter 2940: loss 0.9927, time 94.11ms, mfu 3.98%
iter 2950: loss 1.0219, time 92.55ms, mfu 3.99%
iter 2960: loss 0.9975, time 94.19ms, mfu 3.98%
iter 2970: loss 0.9862, time 94.89ms, mfu 3.98%
iter 2980: loss 0.9971, time 92.45ms, mfu 3.98%
iter 2990: loss 0.9891, time 92.69ms, mfu 3.99%
step 3000: train loss 0.8716, val loss 1.5169
iter 3000: loss 0.9792, time 11732.28ms, mfu 3.59%
iter 3010: loss 1.0012, time 92.27ms, mfu 3.64%
